ID_focal,biomass,biomass_next,growth,NB1,NB2,NB3,NB4,NB5,NB6,NB7,NB8,sp_NB1,sp_NB2,sp_NB3,sp_NB4,sp_NB5,sp_NB6,sp_NB7,sp_NB8,plot_richness,sp,plotID_1,plotID_2,year,spp,spy
15,13928.73915,20187.98283,6259.24368,11611.79898,19793.26719,15766.88678,0,0,28795.08703,6760.374382,9163.987993,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
16,60.36570284,642.6432115,582.2775087,269.4897448,118.3814551,41.70024425,276.2449544,50.70719038,90.84543476,3.712969817,8.451198397,1,1,1,1,1,5,1,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
16,642.6432115,646.7753876,4.1321761,1168.986626,391.1697544,214.4898822,787.0537827,431.1835917,674.8518011,62.91447696,91.62651324,1,1,1,1,1,5,1,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
17,138.3620236,1149.822911,1011.460887,1944.7412,1389.424447,951.7140785,1101.168437,0,4.012402867,40.48334833,124.9725558,5,1,5,5,5,1,1,5,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
17,1149.822911,2519.194925,1369.372014,4906.775026,1533.097215,3137.23173,3244.479813,0,0,374.2913122,654.303429,5,1,5,5,5,1,1,5,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
17,2519.194925,7554.259872,5035.064947,6811.068377,4609.442425,6383.213617,6244.81953,0,0,1252.727271,1368.093494,5,1,5,5,5,1,1,5,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
17,7554.259872,12573.02847,5018.768598,8792.540293,11690.0609,7587.049813,9976.775425,0,0,2996.898436,2055.679878,5,1,5,5,5,1,1,5,2,Castanea henryi,A,C33,5,Castanea henryi C33,Castanea henryi 5
17,12573.02847,15143.82649,2570.79802,13647.37961,15647.28604,9171.351336,10724.03921,0,0,3313.221905,2992.832351,5,1,5,5,5,1,1,5,2,Castanea henryi,A,C33,6,Castanea henryi C33,Castanea henryi 6
19,220.2294149,531.8505876,311.6211727,200.2765317,0,6.921556934,0,0,30.64230934,60.825632,270.7738708,5,1,5,5,5,5,1,5,2,Castanea henryi,A,C33,1,Castanea henryi C33,Castanea henryi 1
19,531.8505876,3623.139903,3091.289315,951.7140785,0,8.537788545,0,0,124.9725558,90.80726441,1513.513783,5,1,5,5,5,5,1,5,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
19,3623.139903,6587.647468,2964.507565,3137.23173,0,76.60577336,0,0,654.303429,563.4132265,4416.097523,5,1,5,5,5,5,1,5,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
21,40.48334833,374.2913122,333.8079639,1101.168437,138.3620236,0,4.012402867,124.9725558,291.9472236,0,317.6769067,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
21,374.2913122,1252.727271,878.4359588,3244.479813,1149.822911,0,0,654.303429,3327.659369,0,1988.834317,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
21,1252.727271,2996.898436,1744.171165,6244.81953,2519.194925,0,0,1368.093494,6590.59329,0,4353.073238,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
21,2996.898436,3313.221905,316.323469,9976.775425,7554.259872,0,0,2055.679878,18241.61111,0,8495.777391,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C33,5,Castanea henryi C33,Castanea henryi 5
22,30.64230934,124.9725558,94.33024646,5.346676537,0,220.2294149,2.414628114,60.825632,0,76.65486075,153.3097215,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,1,Nyssa sinensis C33,Nyssa sinensis 1
22,124.9725558,654.303429,529.3308732,138.3620236,0,531.8505876,40.48334833,90.80726441,0,317.6769067,385.4014761,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,2,Nyssa sinensis C33,Nyssa sinensis 2
22,654.303429,1368.093494,713.790065,1149.822911,0,3623.139903,374.2913122,563.4132265,0,1988.834317,1173.777555,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,3,Nyssa sinensis C33,Nyssa sinensis 3
22,1368.093494,2055.679878,687.586384,2519.194925,0,6587.647468,1252.727271,1391.817516,0,4353.073238,3449.468734,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,4,Nyssa sinensis C33,Nyssa sinensis 4
22,2055.679878,2992.832351,937.152473,7554.259872,0,0,2996.898436,1567.110414,0,8495.777391,7115.531765,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,5,Nyssa sinensis C33,Nyssa sinensis 5
22,2992.832351,3443.983277,451.150926,12573.02847,0,0,3313.221905,1556.122419,0,10124.86446,10985.94468,1,5,1,1,1,5,1,1,2,Nyssa sinensis,A,C33,6,Nyssa sinensis C33,Nyssa sinensis 6
23,60.825632,90.80726441,29.98163241,0,220.2294149,0,30.64230934,270.7738708,76.65486075,153.3097215,22.75691178,5,1,5,5,5,1,1,1,2,Castanea henryi,A,C33,1,Castanea henryi C33,Castanea henryi 1
23,90.80726441,563.4132265,472.6059621,0,531.8505876,0,124.9725558,1513.513783,317.6769067,385.4014761,150.4351642,5,1,5,5,5,1,1,1,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
23,563.4132265,1391.817516,828.4042895,0,3623.139903,0,654.303429,4416.097523,1988.834317,1173.777555,1341.460063,5,1,5,5,5,1,1,1,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
23,1391.817516,1567.110414,175.292898,0,6587.647468,0,1368.093494,6980.117792,4353.073238,3449.468734,3639.275751,5,1,5,5,5,1,1,1,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
24,1513.513783,4416.097523,2902.58374,531.8505876,0,19.02717372,90.80726441,423.6977655,385.4014761,150.4351642,0,1,5,1,1,1,1,1,5,2,Nyssa sinensis,A,C33,2,Nyssa sinensis C33,Nyssa sinensis 2
24,4416.097523,6980.117792,2564.020269,3623.139903,0,15.5226093,563.4132265,5064.490831,1173.777555,1341.460063,0,1,5,1,1,1,1,1,5,2,Nyssa sinensis,A,C33,3,Nyssa sinensis C33,Nyssa sinensis 3
24,6980.117792,10202.75945,3222.641658,6587.647468,0,67.26464031,1391.817516,11049.72092,3449.468734,3639.275751,0,1,5,1,1,1,1,1,5,2,Nyssa sinensis,A,C33,4,Nyssa sinensis C33,Nyssa sinensis 4
24,10202.75945,12703.0317,2500.27225,0,0,360.9809143,1567.110414,20192.73004,7115.531765,8191.194692,0,1,5,1,1,1,1,1,5,2,Nyssa sinensis,A,C33,5,Nyssa sinensis C33,Nyssa sinensis 5
24,12703.0317,15339.78039,2636.74869,0,0,251.4662707,1556.122419,34753.95803,10985.94468,0,0,1,5,1,1,1,1,1,5,2,Nyssa sinensis,A,C33,6,Nyssa sinensis C33,Nyssa sinensis 6
26,76.65486075,317.6769067,241.022046,2.414628114,30.64230934,60.825632,0,153.3097215,107.348221,7.761304651,6.745627746,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,1,Castanea henryi C33,Castanea henryi 1
26,317.6769067,1988.834317,1671.15741,40.48334833,124.9725558,90.80726441,0,385.4014761,583.9062281,158.1006503,0,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
26,1988.834317,4353.073238,2364.238921,374.2913122,654.303429,563.4132265,0,1173.777555,806.4895598,438.3196801,0,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
26,4353.073238,8495.777391,4142.704153,1252.727271,1368.093494,1391.817516,0,3449.468734,1452.004855,0,0,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
26,8495.777391,10124.86446,1629.087069,2996.898436,2055.679878,1567.110414,0,7115.531765,2531.110829,0,0,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,5,Castanea henryi C33,Castanea henryi 5
26,10124.86446,13818.99035,3694.12589,3313.221905,2992.832351,1556.122419,0,10985.94468,2912.934532,0,0,1,5,1,5,1,5,1,1,2,Castanea henryi,A,C33,6,Castanea henryi C33,Castanea henryi 6
27,385.4014761,1173.777555,788.3760789,124.9725558,90.80726441,1513.513783,317.6769067,150.4351642,158.1006503,0,694.0783481,5,1,5,1,1,1,1,5,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
27,1173.777555,3449.468734,2275.691179,654.303429,563.4132265,4416.097523,1988.834317,1341.460063,438.3196801,0,1825.019895,5,1,5,1,1,1,1,5,2,Castanea henryi,A,C33,3,Castanea henryi C33,Castanea henryi 3
27,3449.468734,7115.531765,3666.063031,1368.093494,1391.817516,6980.117792,4353.073238,3639.275751,0,0,4719.967091,5,1,5,1,1,1,1,5,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
27,7115.531765,10985.94468,3870.412915,2055.679878,1567.110414,10202.75945,8495.777391,8191.194692,0,0,6507.748068,5,1,5,1,1,1,1,5,2,Castanea henryi,A,C33,5,Castanea henryi C33,Castanea henryi 5
27,10985.94468,12480.65937,1494.71469,2992.832351,1556.122419,12703.0317,10124.86446,0,0,0,12425.38033,5,1,5,1,1,1,1,5,2,Castanea henryi,A,C33,6,Castanea henryi C33,Castanea henryi 6
28,3639.275751,8191.194692,4551.918941,1391.817516,6980.117792,11049.72092,3449.468734,0,0,4719.967091,9863.410897,1,5,1,1,5,1,5,1,2,Castanea henryi,A,C33,4,Castanea henryi C33,Castanea henryi 4
29,107.348221,583.9062281,476.5580071,59.28774386,0,76.65486075,51.742031,7.761304651,66.83345671,54.83170884,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,1,Nyssa sinensis C33,Nyssa sinensis 1
29,583.9062281,806.4895598,222.5833317,291.9472236,0,317.6769067,403.779479,158.1006503,1285.854148,662.4146285,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,2,Nyssa sinensis C33,Nyssa sinensis 2
29,806.4895598,1452.004855,645.5152952,3327.659369,0,1988.834317,1195.240916,438.3196801,2932.048424,1849.277388,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,3,Nyssa sinensis C33,Nyssa sinensis 3
29,1452.004855,2531.110829,1079.105974,6590.59329,0,4353.073238,4883.355395,0,8052.669776,3748.501741,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,4,Nyssa sinensis C33,Nyssa sinensis 4
29,2531.110829,2912.934532,381.823703,18241.61111,0,8495.777391,8033.515643,0,15402.56779,4316.172051,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,5,Nyssa sinensis C33,Nyssa sinensis 5
29,2912.934532,3562.682171,649.747639,24737.02422,0,10124.86446,14680.86168,0,22350.56856,6380.496866,0,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C33,6,Nyssa sinensis C33,Nyssa sinensis 6
30,7.761304651,158.1006503,150.3393456,0,76.65486075,153.3097215,107.348221,6.745627746,54.83170884,0,520.9192589,5,1,1,5,1,5,1,5,2,Castanea henryi,A,C33,1,Castanea henryi C33,Castanea henryi 1
30,158.1006503,438.3196801,280.2190298,0,317.6769067,385.4014761,583.9062281,0,662.4146285,0,2460.984002,5,1,1,5,1,5,1,5,2,Castanea henryi,A,C33,2,Castanea henryi C33,Castanea henryi 2
