"","ID_focal","biomass","biomass_next","growth","NB1","NB2","NB3","NB4","NB5","NB6","NB7","NB8","sp_NB1","sp_NB2","sp_NB3","sp_NB4","sp_NB5","sp_NB6","sp_NB7","sp_NB8","plot_richness","sp","plotID_1","plotID_2","year","spp","spy"
"54",15,0.680351159,5.9870902,5.306739041,0.291579068,1.27862821,1.589645883,1.451415806,2.5658958,5.629734035,0.155508836,164.9336143,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",1,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 1"
"55",15,5.9870902,99.87123046,93.88414026,5.054037181,6.496813608,20.51852702,12.24632086,38.87720909,96.98096522,10.49684645,879.817474,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"56",15,99.87123046,245.6499653,145.77873484,56.85791829,34.31129687,82.93804605,223.9327243,67.73273761,259.7704425,85.51474108,3873.89476,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"57",15,245.6499653,390.4340916,144.7841263,198.000546,99.87123046,161.9235759,259.1813939,456.2672455,3659.091818,188.5933413,10477.74047,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"58",15,390.4340916,711.5112421,321.0771505,315.4842321,226.2264797,263.178727,586.3034105,721.4659675,5598.349917,448.7293867,19291.29526,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"59",15,711.5112421,747.2199587,35.7087166,529.0410613,423.0461304,399.6231519,1079.110373,1214.040207,11628.31736,384.7223816,26836.0735,"2","2","2","2","2","8","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",6,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 6"
"60",16,2.5658958,38.87720909,36.31131329,1.27862821,1.589645883,75.6495511,0.680351159,37.45171142,0.155508836,164.9336143,0.86393798,"2","2","8","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",1,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 1"
"61",16,38.87720909,67.73273761,28.85552852,6.496813608,20.51852702,419.096314,5.9870902,75.75008206,10.49684645,879.817474,19.90513105,"2","2","8","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"62",16,67.73273761,456.2672455,388.53450789,34.31129687,82.93804605,2158.743507,99.87123046,211.4920174,85.51474108,3873.89476,146.3510938,"2","2","8","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"63",16,456.2672455,721.4659675,265.198722,99.87123046,161.9235759,6685.091454,245.6499653,685.7939683,188.5933413,10477.74047,517.5334074,"2","2","8","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"64",16,721.4659675,1214.040207,492.5742395,226.2264797,263.178727,9716.146856,390.4340916,1179.17437,448.7293867,19291.29526,904.456671,"2","2","8","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"65",17,12.53495469,52.44888935,39.91393466,7.142725057,213.78915,70.37167544,162.8664463,314.4074512,1.23150432,95.39320429,179.307029,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",1,"Schima superba C37","Schima superba 1"
"66",17,52.44888935,147.4110671,94.96217775,50.73797799,930.6654077,323.3028708,612.8757179,958.1719363,23.55252012,601.2819843,757.0452897,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"67",17,147.4110671,261.6418893,114.2308222,146.241138,1952.055299,846.1094414,1242.499894,2172.373621,33.25061665,813.2766566,1127.046364,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"68",17,261.6418893,429.6025852,167.9606959,541.8099468,2940.857057,1589.905064,3131.01177,4208.107989,102.1763741,2607.026473,3587.306111,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"69",17,429.6025852,651.3954137,221.7928285,1041.549589,4090.072148,2445.375038,5172.159809,5559.36236,292.1416881,3989.796909,4757.006508,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
"70",17,651.3954137,1147.05721,495.6617963,1848.214745,5648.576051,2451.485279,7295.962129,7684.365947,608.3804522,5121.148041,5989.256328,"5","8","8","8","8","5","8","8",2,"Schima superba","A","C37",6,"Schima superba C37","Schima superba 6"
"71",18,958.1719363,2172.373621,1214.2016847,930.6654077,323.3028708,0.03848451,52.44888935,362.0622701,601.2819843,757.0452897,137.2731476,"8","8","5","8","8","8","8","8",2,"Schima superba","A","C37",2,"Schima superba C37","Schima superba 2"
"72",18,2172.373621,4208.107989,2035.734368,1952.055299,846.1094414,0,147.4110671,1043.515186,813.2766566,1127.046364,371.1995924,"8","8","5","8","8","8","8","8",2,"Schima superba","A","C37",3,"Schima superba C37","Schima superba 3"
"73",18,4208.107989,5559.36236,1351.254371,2940.857057,1589.905064,0,261.6418893,2551.63132,2607.026473,3587.306111,1051.891614,"8","8","5","8","8","8","8","8",2,"Schima superba","A","C37",4,"Schima superba C37","Schima superba 4"
"74",18,5559.36236,7684.365947,2125.003587,4090.072148,2445.375038,0,429.6025852,3863.424774,3989.796909,4757.006508,1624.431167,"8","8","5","8","8","8","8","8",2,"Schima superba","A","C37",5,"Schima superba C37","Schima superba 5"
